Name,IncumbentTeam,TeamOffering,Annual,Years,NoTrade,TCV,Compensation,BidFee
"Aardsma,David","Banditos","Outlaws","400","1","no","800","","8"
"Casilla,Santiago","Banditos","Outlaws","200","1","no","400","","4"
"Rodriguez,Alex","Outlaws","Outlaws","800","3","yes","3520","",""
"Wright,Jamey","Outlaws","Sharks","20000","5","yes","100000","1st + $10000","1000"
"Wright,Jamey","Outlaws","Banditos","8200","5","no","50000","1st + $5000","500"
"Wright,Jamey","Outlaws","Sharks","8200","5","yes","49200","1st + $4920","492"
"Wright,Jamey","Outlaws","Outlaws","8200","5","no","49200","",""
"Wright,Jamey","Outlaws","Oilers","8200","5","no","49100","1st + $4910","491"
"Wright,Jamey","Outlaws","Toros","8200","5","no","5000","2nd","50"
"Wright,Jamey","Outlaws","Maroons","8200","5","no","1500","5th","15"
